j1,j2,j3,j4,si,sf,time
2.485455411831201e-21,-0.6343596408854604,-0.6344615143380099,10.0,0.0,0.0,0.0
2.485455411831201e-21,-0.6343596408854604,-0.6344615143380099,10.0,0.0,0.0,2.0
2.485455411831201e-21,-0.6343596408854604,-0.6344615143380099,-30.0,0.0,0.0,4.0
2.485455411831201e-21,-0.6343596408854604,-0.6344615143380099,-30.0,0.0,0.0,6.0
2.485455411831201e-21,-0.4598267156860274,-0.6344615143380099,-30.0,0.0,0.0,8.0
2.485455411831201e-21,0.06377205991227149,-0.6344615143380099,-30.0,0.0,0.0,10.0
0.9599310885968817,-0.8203517083390922,-0.3167761300575074,-0.0,0.0,0.0,12.0
0.9599310885968817,-0.8203517083390922,-0.3167761300575074,-0.0,0.0,0.0,14.0
0.9599310885968817,-0.5585523205399427,-0.3167761300575074,10.0,0.0,0.0,16.0
0.9599310885968817,-0.3840193953405098,-0.3167761300575074,10.0,0.0,0.0,18.0
-0.09125386385504174,-0.3754694897029731,-0.31218157048281786,10.0,0.0,0.0,20.0
-0.09125386385504178,-1.1034931844443658,-0.29158661478019027,10.0,0.0,0.0,22.0
-0.09125386385504178,-1.1034931844443658,-0.29158661478019027,10.0,0.0,0.0,24.0
-0.0892157504615339,-1.0899681378670076,-0.2653551850976183,-10.0,0.0,0.0,26.0
-0.0892157504615339,-1.0899681378670076,-0.2653551850976183,-25.0,0.0,0.0,28.0
-0.0892157504615339,-1.0899681378670076,-0.2653551850976183,-25.0,0.0,0.0,30.0
1.0322397971618453,-0.6046841782284389,-0.44496156058672653,-25.0,0.0,0.0,32.0
1.0322397971618453,-0.6046841782284389,-0.44496156058672653,-25.0,0.0,0.0,34.0
1.0322397971618453,-0.6046841782284389,-0.44496156058672653,0.0,0.0,0.0,36.0
1.0322397971618453,-0.6046841782284389,-0.44496156058672653,0.0,0.0,0.0,38.0
1.0322397971618453,-0.08108540263013998,-0.44496156058672653,0.0,0.0,0.0,40.0
-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,42.0
-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,44.0
