j1,j2,j3,j4,si,sf,time
0.0,-0.6283185307161397,-0.5585053606400044,0.0,0.0,0.0,0.0
0.0,-0.6283185307161397,-0.5585053606400044,-25.0,0.0,0.0,2.0
0.0,-0.6283185307161397,-0.5585053606400044,-25.0,0.0,0.0,4.0
0.0,-0.6283185307161397,-0.5585053606400044,-25.0,0.0,0.0,6.0
0.0,-0.0698131700779542,-0.5585053606400044,-25.0,0.0,0.0,8.0
1.0122909661567117,-0.6473472592016107,-0.4298897560624774,-25.0,0.0,0.0,10.0
1.0122909661567117,-0.6473472592016107,-0.4298897560624774,-25.0,0.0,0.0,12.0
1.012290966156712,-0.7190907950737724,-0.4189641201929982,-25.0,0.0,0.0,14.0
1.012290966156712,-0.7190907950737724,-0.4189641201929982,-25.0,0.0,0.0,16.0
1.012290966156712,-0.7190907950737724,-0.4189641201929982,0.0,0.0,0.0,18.0
1.012290966156712,-0.7190907950737724,-0.4189641201929982,0.0,0.0,0.0,20.0
1.012290966156712,-0.3700249446749062,-0.4189641201929982,0.0,0.0,0.0,22.0
1.52655665885959e-16,0.0,0.0,0.0,0.0,0.0,23.0
1.52655665885959e-16,-0.9634368903529787,-0.4189641201929982,10.0,0.0,0.0,24.0
1.3921229488697162e-16,-1.0960102419391025,-0.235341911236905,10.0,0.0,0.0,26.0
1.3921227548793395e-16,-1.096010241939121,-0.2353419112368882,-10.0,0.0,0.0,28.0
1.3921227548793395e-16,-1.096010241939121,-0.2353419112368882,-15.0,0.0,0.0,30.0
1.3921227548793395e-16,-1.096010241939121,-0.2353419112368882,-15.0,0.0,0.0,32.0
1.3921227548793395e-16,-0.3280653710616153,-0.2353419112368882,-15.0,0.0,0.0,34.0
1.012290966156712,-0.5375048813009349,-0.5844077616357543,-15.0,0.0,0.0,36.0
1.012290966156712,-0.5375048813009349,-0.5844077616357543,-15.0,0.0,0.0,38.0
1.012290966156712,-0.5375048813009349,-0.5844077616357543,-15.0,0.0,0.0,40.0
1.0122909661567117,-0.6386369779817105,-0.5732733955188496,-15.0,0.0,0.0,42.0
1.0122909661567117,-0.6386369779817105,-0.5732733955188496,-15.0,0.0,0.0,44.0
1.0122909661567117,-0.6386369779817105,-0.5732733955188496,20.0,0.0,0.0,46.0
1.0122909661567117,-0.6386369779817105,-0.5732733955188496,20.0,0.0,0.0,48.0
1.0122909661567117,-0.3593842976626176,-0.5732733955188496,20.0,0.0,0.0,50.0
0.0,1.1102230246251563e-16,0.0,0.0,0.0,0.0,52.0
0.0,1.1102230246251563e-16,0.0,0.0,0.0,0.0,54.0
0.0,1.1102230246251563e-16,0.0,0.0,0.0,0.0,56.0
