j1,j2,j3,j4,si,sf,time
3.637978807091713e-12,-0.6632251157542074,-0.5235987755946608,10.0,0.0,0.0,0.0
3.637978807091713e-12,-0.6632251157542074,-0.5235987755946608,10.0,0.0,0.0,2.0
3.637978807091713e-12,-0.6632251157542074,-0.5235987755946608,-35.0,0.0,0.0,4.0
3.637978807091713e-12,-0.31415926535534133,-0.5235987755946608,-35.0,0.0,0.0,6.0
1.0471975512002363,0.06981317008341112,-0.5235987755946608,-35.0,0.0,0.0,8.0
1.0087900338029436,-0.7608381290803824,-0.38334784405579253,-35.0,0.0,0.0,10.0
1.0087900338029436,-0.7608381290803824,-0.38334784405579253,-35.0,0.0,0.0,12.0
1.0087900338029436,-0.7608381290803824,-0.38334784405579253,10.0,0.0,0.0,14.0
0.9040702786832837,-0.027799843242763737,-0.38334784405579253,10.0,0.0,0.0,16.0
-0.0035009323537680964,-0.9702776393197022,-0.38334784405579253,10.0,0.0,0.0,18.0
0.06249084557837531,-1.1229409247831992,-0.20997006851720704,10.0,0.0,0.0,20.0
0.06249084557837531,-1.1229409247831992,-0.20997006851720704,-25.0,0.0,0.0,22.0
0.06249084557837531,-0.21536971374614705,-0.20997006851720704,-25.0,0.0,0.0,24.0
1.0398752266952005,0.13369613665271882,-1.326980789793579,-25.0,0.0,0.0,26.0
1.0398752266952005,-0.564435564145013,-0.5241293338761863,-25.0,0.0,0.0,28.0
1.0398752266952005,-0.564435564145013,-0.5241293338761863,-25.0,0.0,0.0,30.0
1.0398752266952005,-0.564435564145013,-0.5241293338761863,10.0,0.0,0.0,32.0
-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,34.0
